dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,wobbliness,temp,atemp,hum,congeniality,windspeed,casual,registered,cnt
40544,1,0,1,1,0,6,0,1,34.13373094,0.22,0.2727,0.8,1.9873,0,8,32,40
40544,1,0,1,2,0,6,0,1,81.66704123,0.22,0.2727,0.8,1.9873,0,5,27,32
40544,1,0,1,3,0,6,0,,19.13416112,0.24,0.2879,0.75,1.9321,0,3,10,13
40544,1,0,1,5,0,6,0,2,55.1063901,0.24,0.2576,0.75,1.9624,0.0896,0,1,1
40544,1,0,1,9,0,6,0,1,81.83641803,0.32,0.3485,0.76,2.1315,0,8,6,14
40544,1,0,1,11,0,6,0,1,91.27781458,0.36,0.3333,0.81,2.3667,0.2836,26,30,56
40544,1,0,1,13,0,6,0,2,6.251058312,0.46,0.4545,0.72,2.3655,0.2985,47,47,94
40544,1,0,1,14,0,6,0,2,87.63659351,0.46,0.4545,0.72,2.3655,0.2836,35,71,106
40544,1,0,1,15,0,6,0,2,38.16286097,0.44,0.4394,0.77,2.4206,0.2985,40,70,110
40544,1,0,1,16,0,6,0,2,84.22389794,0.42,0.4242,0.82,2.4758,0.2985,41,52,93
40544,1,0,1,17,0,6,0,2,,0.44,0.4394,0.82,2.5206,0.2836,15,52,67
40544,1,0,1,18,0,6,0,3,16.71732717,0.42,0.4242,0.88,2.5958,0.2537,9,26,35
40544,1,0,1,19,0,6,0,3,70.22377826,0.42,0.4242,0.88,2.5958,0.2537,6,31,37
40544,1,0,1,20,0,6,0,2,95.56330723,0.4,0.4091,0.87,2.5309,0.2537,11,25,36
40544,1,0,1,21,0,6,0,2,8.829828615,0.4,0.4091,0.87,2.5309,0.194,3,31,34
40544,1,0,1,22,0,6,0,2,1.575777729,0.4,0.4091,0.94,2.6709,0.2239,11,17,28
40545,1,0,1,0,0,0,0,2,6.446372092,0.46,0.4545,0.88,2.6855,0.2985,4,13,17
